Date,Open,High,Low,Close,Volume
2021. 7. 8 오후 4:00:00,182.18,188,181.06,186.57,5180623
2021. 7. 9 오후 4:00:00,186.13,187.4,184.67,185.97,3748237
2021. 7. 12 오후 4:00:00,187.2,187.86,184.84,185.93,2571635
2021. 7. 13 오후 4:00:00,185.11,188.65,183.57,183.87,3845917
2021. 7. 14 오후 4:00:00,185.44,185.88,183.04,184.08,3296568
2021. 7. 15 오후 4:00:00,184.71,184.77,181.05,181.56,3185292
2021. 7. 16 오후 4:00:00,181.67,182.3,178.52,178.68,4043706
2021. 7. 19 오후 4:00:00,176.63,177.51,174.96,177.48,3784595
2021. 7. 20 오후 4:00:00,178.37,179.6,175.9,178.66,3255680
2021. 7. 21 오후 4:00:00,178.82,179.32,177.18,179.26,2318989
2021. 7. 22 오후 4:00:00,179.36,182,179.11,181.9,3265352
2021. 7. 23 오후 4:00:00,182,183.31,181.1,182.83,2436292
2021. 7. 26 오후 4:00:00,183.66,185.6,182.36,184.99,2900068
2021. 7. 27 오후 4:00:00,184.93,184.93,179.31,181.32,4131890
2021. 7. 28 오후 4:00:00,181.69,182.92,180.05,181.52,2999378
2021. 7. 29 오후 4:00:00,181.39,181.9,179,180,5519952
2021. 7. 30 오후 4:00:00,167.4,168.41,165.35,166.38,9965593
2021. 8. 2 오후 4:00:00,167.66,167.95,165.85,166.57,3353915
2021. 8. 3 오후 4:00:00,167.04,169.55,164.99,168.31,4157343
2021. 8. 4 오후 4:00:00,168.97,169.44,167.28,167.74,2183945
2021. 8. 5 오후 4:00:00,167.81,169.45,167.05,168.8,2433503
2021. 8. 6 오후 4:00:00,168.75,168.75,166.45,167.25,2637644
2021. 8. 9 오후 4:00:00,167.18,167.74,166.43,167.09,2148220
2021. 8. 10 오후 4:00:00,167.25,167.9,165.75,166.03,2412551
2021. 8. 11 오후 4:00:00,166.57,166.89,163.89,164.61,2947249
2021. 8. 12 오후 4:00:00,164.5,165.73,163.48,165.18,2323823
2021. 8. 13 오후 4:00:00,165.28,165.3,164.15,164.7,2056699
2021. 8. 16 오후 4:00:00,164.15,165,160.56,164.95,3328494
2021. 8. 17 오후 4:00:00,163.88,164.02,161.28,162.1,3387922
2021. 8. 18 오후 4:00:00,162.1,162.7,160,160.06,2804311
2021. 8. 19 오후 4:00:00,159.7,161.65,159.12,159.39,3782862
2021. 8. 20 오후 4:00:00,160.19,160.39,158.79,160,3358428
2021. 8. 23 오후 4:00:00,160.6,164.05,160.5,163.29,3268131
2021. 8. 24 오후 4:00:00,164,165.77,163.73,165.29,2551841
