Date,Open,High,Low,Close,Volume
2021. 8. 13 오후 4:00:00,362.97,364.66,361.48,363.18,7195724
2021. 8. 16 오후 4:00:00,362.52,366.95,357.38,366.56,11232269
2021. 8. 17 오후 4:00:00,362.98,364.67,355.07,358.45,12328737
2021. 8. 18 오후 4:00:00,356.25,359.86,355.15,355.45,10042381
2021. 8. 19 오후 4:00:00,351.35,357.57,351,355.12,12004535
2021. 8. 20 오후 4:00:00,354.6,359.99,353.31,359.37,8697667
2021. 8. 23 오후 4:00:00,359.44,365.69,359.1,363.35,10942007
2021. 8. 24 오후 4:00:00,363.66,367.96,361.84,365.51,9235148
2021. 8. 25 오후 4:00:00,365.6,370.86,365.4,368.39,9684519
2021. 8. 26 오후 4:00:00,368.38,369.44,364.13,364.38,7888683
2021. 8. 27 오후 4:00:00,365.1,373.74,364.08,372.63,11219142
2021. 8. 30 오후 4:00:00,372.56,381.49,370.52,380.66,13547261
2021. 8. 31 오후 4:00:00,379.95,382.76,378.8,379.38,12345350
2021. 9. 1 오후 4:00:00,379.59,384.33,378.81,382.05,11567163
2021. 9. 2 오후 4:00:00,381.5,381.75,374.06,375.28,14838274
2021. 9. 3 오후 4:00:00,374.75,377.16,373.11,376.26,7511356
2021. 9. 7 오후 4:00:00,375.88,382.96,373.15,382.18,10798920
2021. 9. 8 오후 4:00:00,380.16,380.87,374.79,377.57,11067166
2021. 9. 9 오후 4:00:00,377.64,379.83,376.57,378,9098941
2021. 9. 10 오후 4:00:00,381.36,383.79,378.26,378.69,11549595
2021. 9. 13 오후 4:00:00,381.68,381.75,374.35,376.51,13026275
2021. 9. 14 오후 4:00:00,377.4,378.59,375.11,376.53,8711569
2021. 9. 15 오후 4:00:00,377,377.56,367.67,373.92,17940297
2021. 9. 16 오후 4:00:00,372.79,373.56,369.71,373.06,11934217
2021. 9. 17 오후 4:00:00,371.41,371.41,361.59,364.72,26298966
2021. 9. 20 오후 4:00:00,359.3,361.03,349.8,355.7,19822772
2021. 9. 21 오후 4:00:00,358.5,360.04,355.19,357.48,11751917
2021. 9. 22 오후 4:00:00,347.23,349.84,340.69,343.21,43692859
2021. 9. 23 오후 4:00:00,345.36,349.67,343,345.96,21806264
2021. 9. 24 오후 4:00:00,343.24,354.35,342.37,352.96,18801933
2021. 9. 27 오후 4:00:00,349.81,355.15,347.08,353.58,15205843
2021. 9. 28 오후 4:00:00,347.97,349.6,338.92,340.65,21710286
2021. 9. 29 오후 4:00:00,343.15,345.23,338.88,339.61,14452241
2021. 9. 30 오후 4:00:00,340.45,342.8,338.15,339.39,16547094
2021. 10. 1 오후 4:00:00,341.61,345.02,338.64,343.01,14905311
2021. 10. 4 오후 4:00:00,335.53,335.94,322.7,326.23,42884975
2021. 10. 5 오후 4:00:00,328.58,335.18,326.16,332.96,35377947
2021. 10. 6 오후 4:00:00,329.74,334.38,325.8,333.64,26443010
2021. 10. 7 오후 4:00:00,337,338.84,328.98,329.22,28307456
2021. 10. 8 오후 4:00:00,331.51,333.4,328.71,330.05,15946110
2021. 10. 11 오후 4:00:00,327.63,330.46,325.31,325.45,14708224
2021. 10. 12 오후 4:00:00,323.03,324.38,317.37,323.77,31658684
2021. 10. 13 오후 4:00:00,326.97,327,322.66,324.54,14761470
2021. 10. 14 오후 4:00:00,328.36,330.52,327.1,328.53,14302154
2021. 10. 15 오후 4:00:00,328.68,329.07,322.51,324.76,21596370
2021. 10. 18 오후 4:00:00,328.95,335.89,327.5,335.34,21585018
2021. 10. 19 오후 4:00:00,339.65,342.46,337.28,339.99,18786316
2021. 10. 20 오후 4:00:00,343.45,343.98,339.45,340.78,13639465
2021. 10. 21 오후 4:00:00,340.28,342.31,337.8,341.88,16354423
2021. 10. 22 오후 4:00:00,326.35,329.63,321.11,324.61,35224543
2021. 10. 25 오후 4:00:00,320.3,329.56,319.72,328.69,38408957
2021. 10. 26 오후 4:00:00,328.26,330.21,309.6,315.81,65654043
2021. 10. 27 오후 4:00:00,314.19,319.25,312.06,312.22,29971761
2021. 10. 28 오후 4:00:00,312.99,325.52,308.11,316.92,50806840
2021. 10. 29 오후 4:00:00,320.19,326,319.6,323.57,37059384
2021. 11. 1 오후 4:00:00,326.04,333.45,326,329.98,31518885
2021. 11. 2 오후 4:00:00,331.38,334.79,323.8,328.08,28352966
2021. 11. 3 오후 4:00:00,327.49,332.15,323.2,331.62,20786502
2021. 11. 4 오후 4:00:00,334.01,337.27,332.65,335.85,22495281
