Date,Open,High,Low,Close,Volume
2021. 7. 6 오후 4:00:00,227.24,228,217.13,219.86,23284450
2021. 7. 7 오후 4:00:00,221.42,221.9,212.77,214.88,18791960
2021. 7. 8 오후 4:00:00,209.46,218.14,206.82,217.6,22773316
2021. 7. 9 오후 4:00:00,217.73,219.64,214.9,218.98,18140548
2021. 7. 12 오후 4:00:00,220.73,229.08,220.72,228.57,25927042
2021. 7. 13 오후 4:00:00,228.77,231.09,222.1,222.85,20966092
2021. 7. 14 오후 4:00:00,223.58,226.2,217.61,217.79,21641190
2021. 7. 15 오후 4:00:00,219.46,222.05,212.63,216.87,20209571
2021. 7. 16 오후 4:00:00,218.23,218.9,214.07,214.74,16370970
2021. 7. 19 오후 4:00:00,209.96,215.73,207.1,215.41,21297090
2021. 7. 20 오후 4:00:00,217.33,220.8,213.5,220.17,15487127
2021. 7. 21 오후 4:00:00,219.87,221.62,216.76,218.43,13953338
2021. 7. 22 오후 4:00:00,218.81,220.72,214.87,216.42,15105727
2021. 7. 23 오후 4:00:00,215.45,216.27,212.43,214.46,14604944
2021. 7. 26 오후 4:00:00,216.99,222.73,215.7,219.21,25336556
2021. 7. 27 오후 4:00:00,221.13,222.17,209.08,214.93,32813290
2021. 7. 28 오후 4:00:00,215.67,218.32,213.13,215.66,16006596
2021. 7. 29 오후 4:00:00,216.6,227.9,216.27,225.78,30394637
2021. 7. 30 오후 4:00:00,223.92,232.51,223,229.07,29656411
2021. 8. 2 오후 4:00:00,233.33,242.31,232.8,236.56,33615765
2021. 8. 3 오후 4:00:00,239.67,240.88,233.67,236.58,21620253
2021. 8. 4 오후 4:00:00,237,241.63,236.31,236.97,17002647
2021. 8. 5 오후 4:00:00,238.67,240.32,237.14,238.21,12919637
2021. 8. 6 오후 4:00:00,237.3,238.78,232.54,233.03,15623049
2021. 8. 9 오후 4:00:00,236.72,239.68,235.04,237.92,14715349
2021. 8. 10 오후 4:00:00,238,238.86,233.96,236.66,13432305
2021. 8. 11 오후 4:00:00,237.57,238.39,234.74,235.94,9800558
2021. 8. 12 오후 4:00:00,235.45,240.93,233.13,240.75,17681686
2021. 8. 13 오후 4:00:00,241.24,243.3,238.11,239.06,16731467
2021. 8. 16 오후 4:00:00,235.02,236.5,225.47,228.72,23103303
2021. 8. 17 오후 4:00:00,224.22,224.86,216.28,221.9,23721279
2021. 8. 18 오후 4:00:00,223.25,231.92,223.12,229.66,20349375
2021. 8. 19 오후 4:00:00,226.07,228.85,222.53,224.49,14313486
2021. 8. 20 오후 4:00:00,227.62,230.71,224.57,226.75,14841865
2021. 8. 23 오후 4:00:00,228.48,237.38,226.92,235.43,20264859
2021. 8. 24 오후 4:00:00,236.89,238.41,234.21,236.16,13083071
2021. 8. 25 오후 4:00:00,235.68,238.99,234.67,237.07,12645562
2021. 8. 26 오후 4:00:00,236.1,238.47,232.54,233.72,13214292
2021. 8. 27 오후 4:00:00,235,238.33,234.03,237.31,13833763
2021. 8. 30 오후 4:00:00,238.24,243.67,237.58,243.64,18604220
2021. 8. 31 오후 4:00:00,244.33,246.8,242.15,245.24,20855436
2021. 9. 1 오후 4:00:00,244.69,247.33,243.76,244.7,13204335
2021. 9. 2 오후 4:00:00,244.83,246.99,243.51,244.13,12796739
2021. 9. 3 오후 4:00:00,244.08,244.67,241.4,244.52,15271045
2021. 9. 7 오후 4:00:00,246.67,253.4,246.42,250.97,20039825
2021. 9. 8 오후 4:00:00,253.86,254.82,246.92,251.29,18793036
2021. 9. 9 오후 4:00:00,251.14,254.03,250.54,251.62,14077731
2021. 9. 10 오후 4:00:00,253.2,254.2,244.84,245.42,15184170
2021. 9. 13 오후 4:00:00,246.74,248.26,236.28,247.67,22952482
2021. 9. 14 오후 4:00:00,247.52,251.49,245.47,248.16,18524881
2021. 9. 15 오후 4:00:00,248.33,252.29,246.12,251.94,15357685
2021. 9. 16 오후 4:00:00,250.94,252.97,249.2,252.33,13923393
2021. 9. 17 오후 4:00:00,252.38,253.68,250,253.16,28204176
2021. 9. 20 오후 4:00:00,244.85,247.33,239.54,243.39,24757652
2021. 9. 21 오후 4:00:00,244.93,248.25,243.48,246.46,16330723
2021. 9. 22 오후 4:00:00,247.84,251.22,246.37,250.65,15126272
2021. 9. 23 오후 4:00:00,251.67,252.73,249.31,251.21,11947527
2021. 9. 24 오후 4:00:00,248.63,258.27,248.19,258.13,21373022
2021. 9. 27 오후 4:00:00,257.71,266.33,256.44,263.79,28070657
2021. 9. 28 오후 4:00:00,262.4,265.21,255.39,259.19,25381422
2021. 9. 29 오후 4:00:00,259.93,264.5,256.89,260.44,20942877
2021. 9. 30 오후 4:00:00,260.33,263.04,258.33,258.49,17955961
2021. 10. 1 오후 4:00:00,259.47,260.26,254.53,258.41,17031414
2021. 10. 4 오후 4:00:00,265.5,268.99,258.71,260.51,30483341
2021. 10. 5 오후 4:00:00,261.6,265.77,258.07,260.2,18432625
2021. 10. 6 오후 4:00:00,258.73,262.22,257.74,260.92,14632768
2021. 10. 7 오후 4:00:00,261.82,268.33,261.13,264.54,19195782
2021. 10. 8 오후 4:00:00,265.4,265.46,260.3,261.83,16738604
2021. 10. 11 오후 4:00:00,262.55,267.08,261.83,263.98,14200322
2021. 10. 12 오후 4:00:00,266.98,270.77,265.52,268.57,22020040
2021. 10. 13 오후 4:00:00,270.16,271.8,268.59,270.36,14120075
2021. 10. 14 오후 4:00:00,271.83,273.42,271.12,272.77,12247170
2021. 10. 15 오후 4:00:00,274.58,281.07,274.12,281.01,18924567
2021. 10. 18 오후 4:00:00,283.93,291.75,283.82,290.04,24207244
2021. 10. 19 오후 4:00:00,292.51,292.65,287.5,288.09,17381128
2021. 10. 20 오후 4:00:00,288.45,289.83,285.79,288.6,14032052
2021. 10. 21 오후 4:00:00,285.33,300,285.17,298,31481454
2021. 10. 22 오후 4:00:00,298.5,303.33,296.99,303.23,22880835
2021. 10. 25 오후 4:00:00,316.84,348.34,314.73,341.62,62852099
2021. 10. 26 오후 4:00:00,341.56,364.98,333.81,339.48,62414968
2021. 10. 27 오후 4:00:00,346.55,356.96,343.59,345.95,38526459
2021. 10. 28 오후 4:00:00,356.1,360.33,351.4,359.01,27213173
2021. 10. 29 오후 4:00:00,360.62,371.74,357.74,371.33,29918417
2021. 11. 1 오후 4:00:00,381.67,403.25,372.89,402.86,56048716
2021. 11. 2 오후 4:00:00,386.45,402.86,382,390.67,42737797
2021. 11. 3 오후 4:00:00,392.44,405.13,384.21,404.62,34628519
2021. 11. 4 오후 4:00:00,411.47,414.5,405.67,409.97,25397410
2021. 11. 5 오후 4:00:00,409.33,413.29,402.67,407.36,21628812
2021. 11. 8 오후 4:00:00,383.26,399,377.67,387.65,33445715
2021. 11. 9 오후 4:00:00,391.2,391.5,337.17,341.17,59105836
2021. 11. 10 오후 4:00:00,336.8,359.37,329.1,355.98,42802722
2021. 11. 11 오후 4:00:00,367.59,368.32,351.56,354.5,22396568
2021. 11. 12 오후 4:00:00,349.17,351.5,339.73,344.47,25573148
2021. 11. 15 오후 4:00:00,339.21,343.99,326.2,337.8,34775649
2021. 11. 16 오후 4:00:00,334.44,352.4,334.06,351.58,26542359
2021. 11. 17 오후 4:00:00,354.5,373.21,351.83,363,31445365
2021. 11. 18 오후 4:00:00,368.85,370.67,358.34,365.46,20898930
2021. 11. 19 오후 4:00:00,366.29,379.57,364.23,379.02,21642258
2021. 11. 22 오후 4:00:00,387.44,400.65,377.48,385.62,33072509
2021. 11. 23 오후 4:00:00,389.17,393.5,354.23,369.68,36171700
2021. 11. 24 오후 4:00:00,360.13,377.59,354,372,22560238
2021. 11. 26 오후 1:00:00,366.49,369.59,360.33,360.64,11680890
2021. 11. 29 오후 4:00:00,367,380.89,366.73,379,19464467
2021. 11. 30 오후 4:00:00,381.46,389.33,372.67,381.59,27092038
2021. 12. 1 오후 4:00:00,386.9,390.95,363.59,365,22934698
2021. 12. 2 오후 4:00:00,366.35,371,352.22,361.53,24371623
2021. 12. 3 오후 4:00:00,361.6,363.53,333.4,338.32,30773995
2021. 12. 6 오후 4:00:00,333.84,340.55,316.83,336.34,27221037
2021. 12. 7 오후 4:00:00,348.07,352.56,342.27,350.58,18694857
2021. 12. 8 오후 4:00:00,350.9,357.46,344.33,356.32,13968790
2021. 12. 9 오후 4:00:00,353.55,354.16,334.12,334.6,19812832
2021. 12. 10 오후 4:00:00,336.25,340.33,327.51,339.01,19888122
2021. 12. 13 오후 4:00:00,333.7,335,317.14,322.14,26198502
2021. 12. 14 오후 4:00:00,315,322.14,310,319.5,23602090
2021. 12. 15 오후 4:00:00,317.74,326.25,309.42,325.33,25056410
2021. 12. 16 오후 4:00:00,331.5,331.66,307.28,308.97,27590483
